type,sfpname,partnumber,serialnumber,state,switch,interface
10Gbase-LR,CISCO-ACCELINK  ,RTXM228-401-C98 ,ACW22410GEC     ,inserted,109,eth1/6
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT223800BB     ,inserted,109,eth1/2
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT223800F2     ,inserted,109,eth1/1
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT223800B8     ,inserted,109,eth1/4
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT223800B7     ,inserted,109,eth1/3
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2123U00F     ,inserted,109,eth1/49
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2121U0UX     ,inserted,109,eth1/50
,,,,removed,109,eth1/51
,,,,removed,109,eth1/52
,,,,removed,109,eth1/53
,,,,removed,109,eth1/54
,,,,removed,109,eth1/11
,,,,removed,109,eth1/12
,,,,removed,109,eth1/13
,,,,removed,109,eth1/14
,,,,removed,109,eth1/15
,,,,removed,109,eth1/16
,,,,removed,109,eth1/17
,,,,removed,109,eth1/18
,,,,removed,109,eth1/19
,,,,removed,109,eth1/20
,,,,removed,109,eth1/21
,,,,removed,109,eth1/22
,,,,removed,109,eth1/23
,,,,removed,109,eth1/24
,,,,removed,109,eth1/25
,,,,removed,109,eth1/26
,,,,removed,109,eth1/27
,,,,removed,109,eth1/28
,,,,removed,109,eth1/29
,,,,removed,109,eth1/30
,,,,removed,109,eth1/31
,,,,removed,109,eth1/32
,,,,removed,109,eth1/33
,,,,removed,109,eth1/34
,,,,removed,109,eth1/35
,,,,removed,109,eth1/36
,,,,removed,109,eth1/37
,,,,removed,109,eth1/38
,,,,removed,109,eth1/39
,,,,removed,109,eth1/40
,,,,removed,109,eth1/41
,,,,removed,109,eth1/42
10Gbase-LR,CISCO-ACCELINK  ,RTXM228-401-C98 ,ACW22410GMH     ,inserted,110,eth1/5
,,,,removed,110,eth1/7
,,,,removed,110,eth1/8
,,,,removed,110,eth1/9
,,,,removed,110,eth1/10
,,,,removed,110,eth1/43
,,,,removed,110,eth1/44
,,,,removed,110,eth1/45
,,,,removed,110,eth1/46
,,,,removed,110,eth1/47
10Gbase-LR,CISCO-ACCELINK  ,RTXM228-401-C98 ,ACW22410GMW     ,inserted,110,eth1/48
10Gbase-LR,CISCO-ACCELINK  ,RTXM228-401-C98 ,ACW22410GBY     ,inserted,110,eth1/6
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT222800WN     ,inserted,110,eth1/1
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT223800B9     ,inserted,110,eth1/4
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT223800BA     ,inserted,110,eth1/3
10Gbase-ER,CISCO-OCLARO    ,TRS7050EN-S103  ,ONT223800GY     ,inserted,110,eth1/2
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2122U3A9     ,inserted,110,eth1/49
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2122U0TL     ,inserted,110,eth1/50
,,,,removed,110,eth1/51
,,,,removed,110,eth1/52
,,,,removed,110,eth1/53
,,,,removed,110,eth1/54
,,,,removed,110,eth1/11
,,,,removed,110,eth1/12
,,,,removed,110,eth1/13
,,,,removed,110,eth1/14
,,,,removed,110,eth1/15
,,,,removed,110,eth1/16
,,,,removed,110,eth1/17
,,,,removed,110,eth1/18
,,,,removed,110,eth1/19
,,,,removed,110,eth1/20
,,,,removed,110,eth1/21
,,,,removed,110,eth1/22
,,,,removed,110,eth1/23
,,,,removed,110,eth1/24
,,,,removed,110,eth1/25
,,,,removed,110,eth1/26
,,,,removed,110,eth1/27
,,,,removed,110,eth1/28
,,,,removed,110,eth1/29
,,,,removed,110,eth1/30
,,,,removed,110,eth1/31
,,,,removed,110,eth1/32
,,,,removed,110,eth1/33
,,,,removed,110,eth1/34
,,,,removed,110,eth1/35
,,,,removed,110,eth1/36
,,,,removed,110,eth1/37
,,,,removed,110,eth1/38
,,,,removed,110,eth1/39
,,,,removed,110,eth1/40
,,,,removed,110,eth1/41
,,,,removed,110,eth1/42
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233955Z     ,inserted,105,eth1/1
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233955K     ,inserted,105,eth1/2
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233954X     ,inserted,105,eth1/3
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956T     ,inserted,105,eth1/4
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZX     ,inserted,105,eth1/5
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZU     ,inserted,105,eth1/6
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233953V     ,inserted,105,eth1/7
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZS     ,inserted,105,eth1/8
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339302     ,inserted,105,eth1/9
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339569     ,inserted,105,eth1/10
,,,,removed,105,eth1/43
10Gbase-LR,CISCO-AVAGO     ,SFCT-739SMZ     ,AVD2233K1D6     ,inserted,105,eth1/44
,,,,removed,105,eth1/45
10Gbase-LR,CISCO-AVAGO     ,SFCT-739SMZ     ,AVD2233K1DC     ,inserted,105,eth1/46
10Gbase-LR,CISCO-AVAGO     ,SFCT-739SMZ     ,AVD2233K1D9     ,inserted,105,eth1/47
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339558     ,inserted,105,eth1/48
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956R     ,inserted,105,eth1/31
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233955F     ,inserted,105,eth1/30
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233955P     ,inserted,105,eth1/29
,,,,removed,105,eth1/49
,,,,removed,105,eth1/50
QSFP-40/100-SRBD,CISCO-FOIT      ,SFBR-89BDDZ-CS2 ,FOF2303N1UA     ,inserted,105,eth1/51
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2310U5EK     ,inserted,105,eth1/52
,,,,removed,105,eth1/53
,,,,removed,105,eth1/54
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956A     ,inserted,105,eth1/11
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956S     ,inserted,105,eth1/12
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZR     ,inserted,105,eth1/13
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233955N     ,inserted,105,eth1/14
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZY     ,inserted,105,eth1/15
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZN     ,inserted,105,eth1/16
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZW     ,inserted,105,eth1/17
