creation_date,creation_time,events_code,description,severity,cause,affected
2020-12-27,14:05:07.883,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:05:17.820,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:05:20.897,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:05:21.013,E4215060,ActiveUserSession ZvilYzxaSAunYODRoF5Drw== deleted,info,transition,uni/usersessext/actsession-ZvilYzxaSAunYODRoF5Drw==
2020-12-27,14:05:26.826,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:05:30.890,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:05:33.206,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:05:48.253,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:06:21.034,E4215060,ActiveUserSession Vj0xZW1oSm2H_E2e4UI8CQ== deleted,info,transition,uni/usersessext/actsession-Vj0xZW1oSm2H_E2e4UI8CQ==
2020-12-27,14:06:21.034,E4215060,ActiveUserSession D+FznU8YQUGZ3k0LZ2vllA== deleted,info,transition,uni/usersessext/actsession-D+FznU8YQUGZ3k0LZ2vllA==
2020-12-27,14:06:26.712,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:06:30.614,E4215058,ActiveUserSession C0ASFWSVTIG+NGDGN+7LQA== created,info,transition,uni/usersessext/actsession-C0ASFWSVTIG+NGDGN+7LQA==
2020-12-27,14:06:41.839,E4194678,[FSM:STAGE:RESET]: (FSM-STAGE:ifc:vmmmgr:CompCtrlrAdd:begin),info,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:06:41.839,E4194678,[FSM:BEGIN]: Add-FSM for VM Controller: DXB-vcenter VM Domain: DC1-RND-ACI VM Provider: VMware Error: Cannot complete login due to an incorrect user name or password.(FSM:ifc:vmmmgr:CompCtrlrAdd),info,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:06:41.866,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
