last_transition_time,last_transition_date,fault_code,description,severity,DN,creation_date,creation_time
16:16:34.888+00:00,2020-09-05,F3302,Failed to form relation to MO mldsnoopPol-default of class mldSnoopPol in context ,cleared,uni/tn-DEMO-TN/BD-NORTH-BD/rsmldsn/fault-F3302,2020-09-05,16:16:34.883+00:00
16:16:34.892+00:00,2020-09-05,F0953,Failed to form relation to MO snPol-default of class igmpSnoopPol in context ,cleared,uni/tn-DEMO-TN/BD-NORTH-BD/rsigmpsn/fault-F0953,2020-09-05,16:16:34.890+00:00
16:16:34.905+00:00,2020-09-05,F1534,Failed to form relation to MO ndifpol-default of class ndIfPol in context ,cleared,uni/tn-DEMO-TN/BD-NORTH-BD/rsBDToNdP/fault-F1534,2020-09-05,16:16:34.902+00:00
08:39:03.283+00:00,2020-09-05,F110473,TCA: ingress drop bytes rate(l2IngrBytesAg15min:dropRate) value 145269 raised above threshold 100000,warning,uni/tn-Heroes/ctx-Heroes_Only/fault-F110473,2020-09-05,08:39:03.283+00:00
08:39:03.286+00:00,2020-09-05,F112425,TCA: ingress drop packets rate(l2IngrPktsAg15min:dropRate) value 123 raised above threshold 100,warning,uni/tn-Heroes/ctx-Heroes_Only/fault-F112425,2020-09-05,08:39:03.286+00:00
08:39:03.277+00:00,2020-09-05,F110473,TCA: ingress drop bytes rate(l2IngrBytesAg15min:dropRate) value 145269 raised above threshold 100000,warning,uni/tn-Heroes/BD-Hero_Land/fault-F110473,2020-09-05,08:39:03.277+00:00
08:39:03.280+00:00,2020-09-05,F112425,TCA: ingress drop packets rate(l2IngrPktsAg15min:dropRate) value 123 raised above threshold 100,warning,uni/tn-Heroes/BD-Hero_Land/fault-F112425,2020-09-05,08:39:03.280+00:00
05:36:33.957+00:00,2020-09-05,F3330,Failed to form relation to MO uni/tn-common/sdwanpolcont/sdwanslapol- of class extdevSDWanSlaPol,warning,uni/tn-fifa/brc-WEB_TO_DB_PING_AND_BACK/subj-WEB_DB_REACHABILITY/rsSdwanPol/fault-F3330,2020-09-05,05:36:33.957+00:00
05:38:35.454+00:00,2020-09-05,F0756,Could not resolve the target oobbrc-oob_mgmt to form a named relationship. Using a default target uni/tn-common/oobbrc-default instead,minor,uni/tn-mgmt/extmgmt-default/instp-blahhhhhhhhhh/rsooBCons-oob_mgmt/fault-F0756,2020-09-05,05:36:33.991+00:00
05:39:05.442+00:00,2020-09-05,F1298,"For tenant 3Tier, application profile test-anp, deployment of application EPG test-epg failed on node 103. Reason Node Cannot Deploy EPG",minor,uni/epp/fv-[uni/tn-3Tier/ap-test-anp/epg-test-epg]/node-103/polDelSt/fault-F1298,2020-09-05,05:36:35.502+00:00
16:22:19.807+00:00,2020-09-05,F0989,Failed to form relation to MO uni/infra/attentp-DEMO-AEP of class infraAttEntityP,warning,uni/infra/funcprof/accportgrp-Server1-Port1-IPG/rsattEntP/fault-F0989,2020-09-05,16:22:19.807+00:00
16:24:45.135+00:00,2020-09-05,F0756,Could not resolve the target ifPol-bpdu_guard to form a named relationship. Using a default target uni/infra/ifPol-default instead,minor,uni/infra/funcprof/accportgrp-Server1-Port1-IPG/rsstpIfPol/fault-F0756,2020-09-05,16:22:19.809+00:00
16:24:45.135+00:00,2020-09-05,F0756,Could not resolve the target lldpIfP-lldp_enabled to form a named relationship. Using a default target uni/infra/lldpIfP-default instead,minor,uni/infra/funcprof/accportgrp-Server1-Port1-IPG/rslldpIfPol/fault-F0756,2020-09-05,16:22:19.811+00:00
16:24:45.135+00:00,2020-09-05,F0756,Could not resolve the target l2IfP-portlocal_vlan_scope to form a named relationship. Using a default target uni/infra/l2IfP-default instead,minor,uni/infra/funcprof/accportgrp-Server1-Port1-IPG/rsl2IfPol/fault-F0756,2020-09-05,16:22:19.813+00:00
16:24:45.135+00:00,2020-09-05,F0756,Could not resolve the target hintfpol-1gig_auto to form a named relationship. Using a default target uni/infra/hintfpol-default instead,minor,uni/infra/funcprof/accportgrp-Server1-Port1-IPG/rshIfPol/fault-F0756,2020-09-05,16:22:19.815+00:00
16:24:45.135+00:00,2020-09-05,F0756,Could not resolve the target cdpIfP-cdp_enabled to form a named relationship. Using a default target uni/infra/cdpIfP-default instead,minor,uni/infra/funcprof/accportgrp-Server1-Port1-IPG/rscdpIfPol/fault-F0756,2020-09-05,16:22:19.817+00:00
16:22:28.803+00:00,2020-09-05,F1014,Failed to form relation to MO uni/infra/accportprof-E_1_31-ISL of class infraAccPortP,warning,uni/infra/nprof-LEAF101-SPR/rsaccPortP-[uni/infra/accportprof-E_1_31-ISL]/fault-F1014,2020-09-05,16:22:28.803+00:00
08:34:02.557+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-13-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.557+00:00
08:34:02.560+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC18-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-18-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.560+00:00
08:34:02.562+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-16-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.562+00:00
08:34:02.564+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf103x-IntProf/hports-Port-16-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.564+00:00
08:34:02.566+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-06-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.566+00:00
08:34:02.568+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-02-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.568+00:00
08:34:02.570+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-31-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.570+00:00
08:34:02.573+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC18-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-18-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.573+00:00
08:34:02.575+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-32-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.575+00:00
08:34:02.577+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC27-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-27-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.577+00:00
08:34:02.579+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-26-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.579+00:00
08:34:02.581+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC23-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-23-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.581+00:00
08:34:02.583+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-31-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.583+00:00
08:34:02.585+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC21-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-21-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.585+00:00
08:34:02.587+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC1-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf103x-IntProf/hports-Port-01-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.587+00:00
08:34:02.589+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-03-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.589+00:00
08:34:02.591+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC33-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-33-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.591+00:00
08:34:02.593+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-19-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.593+00:00
08:34:02.594+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC9-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-09-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.594+00:00
08:34:02.596+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC15-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf103x-IntProf/hports-Port-15-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.596+00:00
08:34:02.598+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-04-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.598+00:00
08:34:02.600+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-07-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.600+00:00
